SYMBOL,logFC,pVal,pAdj,sdSF,sdGC
PPP1R3B,0.230858586814257,0.429508135440497,0.731275432426257,65.14738,37.94127
CLDN12,2.63376084329113,0.00121506788185904,0.0201102725436227,18.39901,2.32901
MPEG1,0.725209183102012,0.000227626471560443,0.00586926924240434,59.15324,51.81038
CYREN,-0.201551093,0.510114638734908,0.783256339969839,17.29565,13.75633
LRRC75B,0.0896221059892187,0.932389485709594,0.977522062854768,15.426326,7.841654
ATP10D,1.06496081979151,0.000324152195890588,0.00752493039773319,30.98263,12.21765
GCHFR,0.561254903541654,0.339398469776319,0.66085833121351,47.31179,22.65884
DDIT4L,-0.075138791,0.921855488016351,0.971823519677292,28.84705,36.06162
SLC39A3,-0.21022485,0.574161957515412,0.818927651656857,26.89561,26.40852
BROX,-0.37098521,0.338442406608476,0.659983444891393,156.24966,84.26317
CKAP4,0.186290322026896,0.665063186193125,0.866552014403444,28.07797,33.03714
HECTD3,-0.506400521,0.140621202925409,0.434604456021146,27.17525,15.59436
PRAMEL12,0.188799015318542,0.728718990328631,0.89722099091474,42.06524,22.83877
FBL,-1.02895608,0.000000853335040075053,0.0000528089593772929,37.6594,67.44411
MBTPS2,-0.100454059,0.803566318228846,0.927308247409383,59.06977,75.70775
ATXN1,0.0578411219097959,0.851769530377606,0.945095517963567,146.1991,107.961
IRGM1,0.472816901049694,0.244309170043849,0.566604751203755,47.4372,21.23463
ZFP740,0.0486410625018288,0.864029590722415,0.949741034957937,61.13563,51.20683
TEFM,0.134987008184215,0.69618674115832,0.882301628511822,40.26596,39.02482
MYCT1,1.52798955520036,0.0472867550383433,0.238137254305352,33.63218,11.82443
ADCK2,0.876047316292365,0.0791619439829482,0.319278350577285,38.78108,12.10501
NQO2,-0.271592587,0.509387472748286,0.782972117371517,24.17289,30.71307
ZBTB21,0.517752165947447,0.18131500911626,0.489879050514804,21.3524,25.4729
